A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	4     	1967            	
                	5     	1970            	
                	6     	1970            	
                	7     	1970            	
                	8     	1967            	
                	9     	1996            	
                	10    	1991            	
                	11    	1989            	
                	12    	2096            	
                	13    	2107            	
                	14    	2111            	
                	15    	2107            	
                	16    	2105            	
                	17    	2107            	
                	18    	2106            	
                	19    	2102            	
                	20    	2113            	
                	21    	2111            	
                	22    	2127            	
                	23    	2142            	
                	24    	2137            	
                	25    	2139            	
                	26    	2154            	
                	27    	2152            	
                	28    	2166            	
                	29    	2165            	
                	30    	2182            	
                	31    	2182            	
                	32    	2189            	
                	33    	2183            	
                	34    	2265            	
                	35    	2269            	
                	36    	2272            	
                	37    	2277            	
                	38    	2281            	
                	39    	2363            	
                	40    	2365            	
                	41    	2365            	
                	42    	2366            	
                	43    	2356            	
                	44    	2354            	
                	45    	2366            	
                	46    	2365            	
                	47    	2369            	
                	48    	2369            	
                	49    	2365            	
                	50    	2672            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2047            	
                	2     	2047            	
                	3     	2074            	
                	4     	2077            	
                	5     	2087            	
                	6     	2123            	
                	7     	2120            	
                	8     	2119            	
                	9     	2142            	
                	10    	2144            	
                	11    	2153            	
                	12    	2149            	
                	13    	2154            	
                	14    	2148            	
                	15    	2154            	
                	16    	2288            	
                	17    	2335            	
                	18    	2344            	
                	19    	2357            	
                	20    	2359            	
                	21    	2368            	
                	22    	2355            	
                	23    	2364            	
                	24    	2363            	
                	25    	2364            	
                	26    	2396            	
                	27    	2395            	
                	28    	2405            	
                	29    	2399            	
                	30    	2403            	
                	31    	2411            	
                	32    	2468            	
                	33    	2474            	
                	34    	2503            	
                	35    	2536            	
                	36    	2534            	
                	37    	2534            	
                	38    	2532            	
                	39    	2530            	
                	40    	2599            	
                	41    	2602            	
                	42    	2602            	
                	43    	2603            	
                	44    	2604            	
                	45    	2603            	
                	46    	2611            	
                	47    	2612            	
                	48    	2620            	
                	49    	2627            	
                	50    	2626            	

G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2316            	
                	2     	2318            	
                	3     	2329            	
                	4     	2335            	
                	5     	2329            	
                	6     	2322            	
                	7     	2339            	
                	8     	2338            	
                	9     	2360            	
                	10    	2370            	
                	11    	2370            	
                	12    	2376            	
                	13    	2385            	
                	14    	2420            	
                	15    	2419            	
                	16    	2421            	
                	17    	2604            	
                	18    	2595            	
                	19    	2582            	
                	20    	2731            	
                	21    	2720            	
                	22    	2743            	
                	23    	2738            	
                	24    	2742            	
                	25    	2738            	
                	26    	2741            	
                	27    	2735            	
                	28    	2787            	
                	29    	2784            	
                	30    	2776            	
                	31    	2778            	
                	32    	2784            	
                	33    	2786            	
                	34    	2777            	
                	35    	2780            	
                	36    	2791            	
                	37    	2799            	
                	38    	2807            	
                	39    	2800            	
                	40    	2811            	
                	41    	2824            	
                	42    	2824            	
                	43    	2876            	
                	44    	2898            	
                	45    	2895            	
                	46    	2904            	
                	47    	2905            	
                	48    	2930            	
                	49    	2956            	
                	50    	2980            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1748            	
                	2     	1745            	
                	3     	1779            	
                	4     	1837            	
                	5     	1839            	
                	6     	1830            	
                	7     	1824            	
                	8     	1810            	
                	9     	1805            	
                	10    	1801            	
                	11    	1787            	
                	12    	1786            	
                	13    	1817            	
                	14    	1814            	
                	15    	1810            	
                	16    	1813            	
                	17    	1809            	
                	18    	1872            	
                	19    	1865            	
                	20    	2129            	
                	21    	2148            	
                	22    	2132            	
                	23    	2119            	
                	24    	2113            	
                	25    	2100            	
                	26    	2101            	
                	27    	2094            	
                	28    	2086            	
                	29    	2081            	
                	30    	2083            	
                	31    	2086            	
                	32    	2083            	
                	33    	2079            	
                	34    	2071            	
                	35    	2095            	
                	36    	2099            	
                	37    	2096            	
                	38    	2096            	
                	39    	2101            	
                	40    	2098            	
                	41    	2101            	
                	42    	2104            	
                	43    	2099            	
                	44    	2105            	
                	45    	2109            	
                	46    	2101            	
                	47    	2096            	
                	48    	2094            	
                	49    	2113            	
                	50    	2124            	

