C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	3     	1856            	
                	4     	1858            	
                	5     	1869            	
                	6     	1868            	
                	7     	1866            	
                	8     	1922            	
                	9     	1915            	
                	10    	1917            	
                	11    	1915            	
                	12    	1912            	
                	13    	1908            	
                	14    	1902            	
                	15    	1894            	
                	16    	1891            	
                	17    	1898            	
                	18    	1890            	
                	19    	1893            	
                	20    	1893            	
                	21    	1891            	
                	22    	1892            	
                	23    	1920            	
                	24    	1921            	
                	25    	1952            	
                	26    	1961            	
                	27    	1954            	
                	28    	2131            	
                	29    	2122            	
                	30    	2118            	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1858            	
                	2     	1863            	
                	3     	1906            	
                	4     	1939            	
                	5     	1974            	
                	6     	1981            	
                	7     	2013            	
                	8     	2021            	
                	9     	2025            	
                	10    	2038            	
                	11    	2036            	
                	12    	2037            	
                	13    	2059            	
                	14    	2100            	
                	15    	2094            	
                	16    	2097            	
                	17    	2097            	
                	18    	2100            	
                	19    	2118            	
                	20    	2121            	
                	21    	2125            	
                	22    	2143            	
                	23    	2143            	
                	24    	2143            	
                	25    	2154            	
                	26    	2165            	
                	27    	2169            	
                	28    	2176            	
                	29    	2186            	
                	30    	2191            	

F1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	3859            	
                	2     	3947            	
                	3     	3969            	
                	4     	3980            	
                	5     	3979            	
                	6     	3982            	
                	7     	3995            	
                	8     	4015            	
                	9     	4048            	
                	10    	4731            	
                	11    	4728            	
                	12    	4726            	
                	13    	4731            	
                	14    	4898            	
                	15    	4887            	
                	16    	4931            	
                	17    	4935            	
                	18    	4928            	
                	19    	4912            	
                	20    	4907            	
                	21    	4924            	
                	22    	4918            	
                	23    	4911            	
                	24    	4916            	
                	25    	5069            	
                	26    	5082            	
                	27    	5120            	
                	28    	5131            	
                	29    	5134            	
                	30    	5156            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	4113            	
                	2     	4150            	
                	3     	4179            	
                	4     	4194            	
                	5     	4213            	
                	6     	4226            	
                	7     	4264            	
                	8     	4282            	
                	9     	4286            	
                	10    	4639            	
                	11    	4654            	
                	12    	4930            	
                	13    	4948            	
                	14    	4962            	
                	15    	4991            	
                	16    	4996            	
                	17    	4996            	
                	18    	5009            	
                	19    	5027            	
                	20    	5040            	
                	21    	5043            	
                	22    	5049            	
                	23    	5089            	
                	24    	5106            	
                	25    	5143            	
                	26    	5160            	
                	27    	5182            	
                	28    	5194            	
                	29    	5428            	
                	30    	5454            	

G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1485            	
                	2     	1481            	
                	3     	1496            	
                	4     	1500            	
                	5     	1500            	
                	6     	1495            	
                	7     	1505            	
                	8     	1506            	
                	9     	1516            	
                	10    	1520            	
                	11    	1514            	
                	12    	1517            	
                	13    	1532            	
                	14    	1530            	
                	15    	1538            	
                	16    	1537            	
                	17    	1543            	
                	18    	1545            	
                	19    	1537            	
                	20    	1538            	
                	21    	1538            	
                	22    	1533            	
                	23    	1540            	
                	24    	1538            	
                	25    	1543            	
                	26    	1583            	
                	27    	1590            	
                	28    	1591            	
                	29    	1591            	
                	30    	1592            	

