C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	15    	1318            	
                	16    	1315            	
                	17    	1354            	
                	18    	1370            	
                	19    	1370            	
                	20    	1368            	
                	21    	1364            	
                	22    	1356            	
                	23    	1353            	
                	24    	1416            	
                	25    	1407            	
                	26    	1405            	
                	27    	1397            	
                	28    	1390            	
                	29    	1391            	
                	30    	1392            	
                	31    	1489            	
                	32    	1484            	
                	33    	1477            	
                	34    	1472            	
                	35    	1489            	
                	36    	1478            	
                	37    	1471            	
                	38    	1472            	
                	39    	1469            	
                	40    	1472            	
                	41    	1460            	
                	42    	1461            	
                	43    	1477            	
                	44    	1476            	
                	45    	1475            	
                	46    	1473            	
                	47    	1465            	
                	48    	1465            	
                	49    	1475            	
                	50    	1482            	

